,,,,,Recommended N (kg/ha),Recommended N (kg/ha),Recommended P2O5 (kg/ha),Recommended P2O5 (kg/ha),Recommended K2O (kg/ha),Recommended K2O (kg/ha)
Region II,3,Dry season,Reaper,"(8, 10]",159.0,159.0,42.0,42.0,62.0,62.0
Region II,3,Wet season,Combined,"(0, 2]",70.0,82.0,13.0,16.0,13.0,16.0
Region II,3,Wet season,Combined,"(2, 4]",70.0,82.0,12.0,16.0,12.0,16.0
Region II,3,Wet season,Combined,"(4, 6]",74.0,120.0,13.0,28.0,13.0,28.0
Region II,3,Wet season,Combined,"(6, 8]",95.0,133.0,23.0,31.0,21.0,31.0
Region II,3,Wet season,Combined,"(8, 10]",100.0,131.0,24.0,31.0,24.0,31.0
Region II,3,Wet season,Manual,"(0, 2]",70.0,82.0,17.0,20.0,17.0,20.0
Region II,3,Wet season,Manual,"(2, 4]",82.0,82.0,20.0,20.0,20.0,24.0
Region II,3,Wet season,Manual,"(4, 6]",82.0,102.0,20.0,29.0,20.0,38.0
Region II,3,Wet season,Reaper,"(2, 4]",82.0,82.0,19.0,20.0,19.0,20.0
Region II,3,Wet season,Reaper,"(4, 6]",84.0,113.0,21.0,31.0,20.0,43.0
Region II,3,Wet season,Reaper,"(6, 8]",124.0,124.0,33.0,33.0,49.0,49.0
Region II,5,Dry season,Combined,"(0, 2]",10.0,37.0,10.0,10.0,10.0,10.0
Region II,5,Dry season,Combined,"(2, 4]",10.0,56.0,10.0,14.0,10.0,33.0
Region II,5,Dry season,Combined,"(4, 6]",40.0,97.0,10.0,24.0,10.0,64.0
Region II,5,Dry season,Combined,"(6, 8]",73.0,129.0,11.0,24.0,11.0,24.0
Region II,5,Dry season,Combined,"(8, 10]",105.0,133.0,16.0,28.0,16.0,28.0
Region II,5,Dry season,Combined,"(10, 13]",121.0,121.0,18.0,18.0,18.0,18.0
Region II,5,Dry season,Manual,"(0, 2]",10.0,37.0,10.0,10.0,10.0,20.0
Region II,5,Dry season,Manual,"(2, 4]",10.0,80.0,10.0,24.0,10.0,37.0
Region II,5,Dry season,Manual,"(4, 6]",29.0,97.0,10.0,25.0,0.0,64.0
Region II,5,Dry season,Manual,"(6, 8]",73.0,119.0,19.0,29.0,26.0,41.0
Region II,5,Dry season,Manual,"(8, 10]",107.0,129.0,27.0,37.0,37.0,57.0
Region II,5,Dry season,Manual,"(10, 13]",109.0,121.0,21.0,29.0,21.0,39.0
Region II,5,Dry season,Reaper,"(0, 2]",10.0,37.0,10.0,10.0,10.0,20.0
Region II,5,Dry season,Reaper,"(2, 4]",10.0,77.0,10.0,23.0,10.0,35.0
Region II,5,Dry season,Reaper,"(4, 6]",45.0,84.0,10.0,23.0,12.0,27.0
Region II,5,Dry season,Reaper,"(6, 8]",89.0,104.0,17.0,27.0,28.0,37.0
Region II,5,Dry season,Reaper,"(8, 10]",129.0,129.0,31.0,31.0,31.0,31.0
Region II,5,Wet season,Combined,"(0, 2]",43.0,82.0,15.0,23.0,10.0,48.0
Region II,5,Wet season,Combined,"(2, 4]",43.0,82.0,11.0,27.0,10.0,64.0
Region II,5,Wet season,Combined,"(4, 6]",77.0,124.0,16.0,37.0,16.0,86.0
Region II,5,Wet season,Combined,"(6, 8]",95.0,131.0,18.0,38.0,18.0,88.0
Region II,5,Wet season,Combined,"(8, 10]",110.0,128.0,18.0,36.0,18.0,84.0
Region II,5,Wet season,Manual,"(0, 2]",43.0,82.0,17.0,23.0,17.0,48.0
Region II,5,Wet season,Manual,"(2, 4]",43.0,82.0,14.0,23.0,11.0,40.0
Region II,5,Wet season,Manual,"(4, 6]",82.0,116.0,21.0,31.0,21.0,45.0
Region II,5,Wet season,Manual,"(6, 8]",84.0,126.0,21.0,33.0,21.0,51.0
Region II,5,Wet season,Reaper,"(0, 2]",43.0,82.0,17.0,24.0,17.0,49.0
Region II,5,Wet season,Reaper,"(2, 4]",49.0,82.0,18.0,24.0,18.0,58.0
Region II,5,Wet season,Reaper,"(4, 6]",72.0,116.0,21.0,31.0,21.0,31.0
Region II,6,Dry season,Combined,"(0, 2]",43.0,66.0,11.0,19.0,0.0,19.0
Region II,6,Dry season,Combined,"(2, 4]",43.0,100.0,10.0,29.0,0.0,56.0
Region II,6,Dry season,Combined,"(4, 6]",43.0,141.0,12.0,39.0,12.0,83.0
Region II,6,Dry season,Combined,"(6, 8]",131.0,178.0,35.0,48.0,56.0,105.0
Region II,6,Dry season,Combined,"(8, 10]",128.0,186.0,34.0,53.0,62.0,117.0
Region II,6,Dry season,Manual,"(0, 2]",30.0,66.0,10.0,21.0,0.0,37.0
Region II,6,Dry season,Manual,"(2, 4]",43.0,110.0,16.0,33.0,16.0,68.0
Region II,6,Dry season,Manual,"(4, 6]",77.0,141.0,19.0,40.0,28.0,87.0
Region II,6,Dry season,Manual,"(6, 8]",133.0,175.0,37.0,49.0,78.0,111.0
Region II,6,Dry season,Manual,"(8, 10]",152.0,186.0,43.0,54.0,97.0,125.0
Region II,6,Dry season,Reaper,"(0, 2]",43.0,54.0,16.0,20.0,16.0,34.0
Region II,6,Dry season,Reaper,"(2, 4]",43.0,98.0,16.0,30.0,16.0,64.0
Region II,6,Dry season,Reaper,"(4, 6]",88.0,133.0,27.0,39.0,52.0,86.0
Region II,6,Dry season,Reaper,"(6, 8]",133.0,167.0,38.0,47.0,81.0,106.0
Region II,6,Dry season,Reaper,"(8, 10]",174.0,174.0,51.0,51.0,117.0,117.0
Region II,6,Wet season,Combined,"(0, 2]",43.0,44.0,11.0,14.0,0.0,14.0
Region II,6,Wet season,Combined,"(2, 4]",43.0,82.0,10.0,23.0,0.0,26.0
Region II,6,Wet season,Combined,"(4, 6]",72.0,124.0,19.0,33.0,15.0,55.0
Region II,6,Wet season,Combined,"(6, 8]",80.0,133.0,22.0,35.0,22.0,64.0
Region II,6,Wet season,Combined,"(8, 10]",106.0,131.0,28.0,34.0,28.0,59.0
Region II,6,Wet season,Manual,"(0, 2]",43.0,44.0,12.0,16.0,12.0,18.0
Region II,6,Wet season,Manual,"(2, 4]",43.0,84.0,15.0,26.0,15.0,47.0
Region II,6,Wet season,Manual,"(4, 6]",72.0,124.0,23.0,35.0,34.0,76.0
Region II,6,Wet season,Manual,"(6, 8]",100.0,137.0,29.0,38.0,55.0,82.0
Region II,6,Wet season,Manual,"(8, 10]",110.0,128.0,32.0,37.0,64.0,82.0
Region II,6,Wet season,Reaper,"(0, 2]",43.0,44.0,15.0,16.0,15.0,16.0
Region II,6,Wet season,Reaper,"(2, 4]",43.0,80.0,15.0,25.0,15.0,45.0
Region II,6,Wet season,Reaper,"(4, 6]",82.0,118.0,25.0,33.0,40.0,68.0
Region II,6,Wet season,Reaper,"(6, 8]",131.0,131.0,37.0,37.0,75.0,75.0
Region III,0,Dry season,Combined,"(0, 2]",56.0,82.0,10.0,16.0,0.0,16.0
Region III,0,Dry season,Combined,"(2, 4]",55.0,102.0,10.0,27.0,0.0,27.0
Region III,0,Dry season,Combined,"(4, 6]",71.0,139.0,10.0,34.0,0.0,34.0
Region III,0,Dry season,Combined,"(6, 8]",82.0,178.0,11.0,43.0,0.0,50.0
Region III,0,Dry season,Combined,"(8, 10]",82.0,186.0,13.0,50.0,13.0,78.0
Region III,0,Dry season,Combined,"(10, 13]",146.0,186.0,32.0,48.0,32.0,64.0
Region III,0,Dry season,Manual,"(0, 2]",56.0,82.0,10.0,20.0,0.0,24.0
Region III,0,Dry season,Manual,"(2, 4]",45.0,102.0,10.0,29.0,0.0,29.0
Region III,0,Dry season,Manual,"(4, 6]",72.0,137.0,16.0,38.0,0.0,61.0
Region III,0,Dry season,Manual,"(6, 8]",124.0,178.0,30.0,47.0,30.0,81.0
Region III,0,Dry season,Manual,"(8, 10]",128.0,186.0,34.0,52.0,34.0,96.0
Region III,0,Dry season,Manual,"(10, 13]",165.0,186.0,43.0,52.0,63.0,96.0
Region III,0,Dry season,Reaper,"(0, 2]",56.0,82.0,13.0,20.0,13.0,24.0
Region III,0,Dry season,Reaper,"(2, 4]",56.0,95.0,10.0,29.0,0.0,29.0
Region III,0,Dry season,Reaper,"(4, 6]",72.0,139.0,16.0,38.0,16.0,52.0
Region III,0,Dry season,Reaper,"(6, 8]",121.0,175.0,28.0,46.0,28.0,79.0
Region III,0,Dry season,Reaper,"(8, 10]",139.0,186.0,37.0,52.0,38.0,96.0
Region III,0,Dry season,Reaper,"(10, 13]",148.0,176.0,40.0,49.0,56.0,89.0
Region III,0,Wet season,Combined,"(0, 2]",56.0,82.0,10.0,16.0,0.0,16.0
Region III,0,Wet season,Combined,"(2, 4]",56.0,82.0,10.0,18.0,0.0,18.0
Region III,0,Wet season,Combined,"(4, 6]",66.0,124.0,10.0,30.0,0.0,30.0
Region III,0,Wet season,Combined,"(6, 8]",83.0,133.0,14.0,32.0,0.0,32.0
Region III,0,Wet season,Combined,"(8, 10]",88.0,128.0,16.0,31.0,0.0,31.0
Region III,0,Wet season,Manual,"(0, 2]",56.0,82.0,10.0,20.0,0.0,24.0
Region III,0,Wet season,Manual,"(2, 4]",52.0,84.0,10.0,22.0,0.0,34.0
Region III,0,Wet season,Manual,"(4, 6]",66.0,126.0,10.0,35.0,0.0,64.0
Region III,0,Wet season,Manual,"(6, 8]",88.0,148.0,21.0,41.0,21.0,82.0
Region III,0,Wet season,Manual,"(8, 10]",95.0,128.0,26.0,35.0,26.0,58.0
Region III,0,Wet season,Reaper,"(0, 2]",69.0,82.0,12.0,20.0,0.0,24.0
Region III,0,Wet season,Reaper,"(2, 4]",56.0,82.0,11.0,21.0,0.0,32.0
Region III,0,Wet season,Reaper,"(4, 6]",70.0,118.0,13.0,32.0,13.0,53.0
Region III,0,Wet season,Reaper,"(6, 8]",84.0,120.0,21.0,33.0,21.0,50.0
Region III,0,Wet season,Reaper,"(8, 10]",95.0,116.0,26.0,32.0,26.0,50.0
Region III,1,Dry season,Combined,"(0, 2]",43.0,82.0,10.0,16.0,0.0,16.0
Region III,1,Dry season,Combined,"(2, 4]",51.0,98.0,10.0,24.0,0.0,24.0
Region III,1,Dry season,Combined,"(4, 6]",72.0,133.0,14.0,35.0,0.0,63.0
Region III,1,Dry season,Combined,"(6, 8]",126.0,173.0,27.0,42.0,22.0,59.0
Region III,1,Dry season,Combined,"(8, 10]",82.0,186.0,16.0,49.0,16.0,75.0
Region III,1,Dry season,Combined,"(10, 13]",159.0,159.0,38.0,38.0,38.0,38.0
Region III,1,Dry season,Manual,"(0, 2]",46.0,82.0,15.0,20.0,15.0,20.0
Region III,1,Dry season,Manual,"(2, 4]",56.0,92.0,13.0,25.0,13.0,39.0
Region III,1,Dry season,Manual,"(4, 6]",72.0,133.0,18.0,36.0,18.0,64.0
Region III,1,Dry season,Manual,"(6, 8]",128.0,161.0,34.0,43.0,34.0,81.0
Region III,1,Dry season,Manual,"(8, 10]",143.0,167.0,39.0,42.0,53.0,64.0
Region III,1,Dry season,Reaper,"(0, 2]",43.0,82.0,15.0,20.0,15.0,20.0
Region III,1,Dry season,Reaper,"(2, 4]",57.0,92.0,15.0,26.0,15.0,52.0
Region III,1,Dry season,Reaper,"(4, 6]",72.0,131.0,20.0,35.0,0.0,61.0
Region III,1,Dry season,Reaper,"(6, 8]",131.0,159.0,35.0,42.0,35.0,79.0
Region III,1,Dry season,Reaper,"(8, 10]",141.0,178.0,38.0,47.0,53.0,80.0
Region III,1,Dry season,Reaper,"(10, 13]",172.0,172.0,49.0,49.0,92.0,92.0
Region III,1,Wet season,Combined,"(0, 2]",43.0,82.0,10.0,16.0,0.0,16.0
Region III,1,Wet season,Combined,"(2, 4]",43.0,84.0,10.0,23.0,0.0,23.0
Region III,1,Wet season,Combined,"(4, 6]",69.0,124.0,10.0,31.0,0.0,43.0
Region III,1,Wet season,Combined,"(6, 8]",78.0,128.0,12.0,30.0,0.0,30.0
Region III,1,Wet season,Combined,"(8, 10]",90.0,128.0,19.0,30.0,18.0,28.0
Region III,1,Wet season,Manual,"(0, 2]",43.0,82.0,11.0,20.0,11.0,24.0
Region III,1,Wet season,Manual,"(2, 4]",43.0,82.0,12.0,23.0,0.0,35.0
Region III,1,Wet season,Manual,"(4, 6]",77.0,120.0,16.0,31.0,16.0,59.0
Region III,1,Wet season,Manual,"(6, 8]",92.0,128.0,22.0,33.0,22.0,66.0
Region III,1,Wet season,Manual,"(8, 10]",100.0,108.0,26.0,30.0,26.0,40.0
Region III,1,Wet season,Reaper,"(0, 2]",43.0,82.0,10.0,20.0,0.0,24.0
Region III,1,Wet season,Reaper,"(2, 4]",46.0,82.0,15.0,23.0,15.0,24.0
Region III,1,Wet season,Reaper,"(4, 6]",77.0,118.0,17.0,32.0,17.0,51.0
Region III,1,Wet season,Reaper,"(6, 8]",92.0,128.0,24.0,35.0,27.0,56.0
Region III,1,Wet season,Reaper,"(8, 10]",106.0,126.0,30.0,34.0,43.0,56.0
Region III,2,Dry season,Combined,"(0, 2]",43.0,44.0,10.0,15.0,0.0,15.0
Region III,2,Dry season,Combined,"(2, 4]",43.0,88.0,10.0,25.0,0.0,37.0
Region III,2,Dry season,Combined,"(4, 6]",74.0,124.0,21.0,32.0,19.0,51.0
Region III,2,Dry season,Combined,"(6, 8]",128.0,159.0,33.0,40.0,33.0,83.0
Region III,2,Dry season,Manual,"(0, 2]",43.0,46.0,12.0,17.0,12.0,17.0
Region III,2,Dry season,Manual,"(2, 4]",43.0,92.0,12.0,28.0,0.0,51.0
Region III,2,Dry season,Manual,"(4, 6]",74.0,128.0,22.0,35.0,31.0,71.0
Region III,2,Dry season,Manual,"(6, 8]",128.0,152.0,35.0,41.0,63.0,85.0
Region III,2,Dry season,Manual,"(8, 10]",169.0,169.0,41.0,41.0,86.0,86.0
Region III,2,Dry season,Reaper,"(0, 2]",43.0,44.0,15.0,16.0,15.0,16.0
Region III,2,Dry season,Reaper,"(2, 4]",43.0,88.0,14.0,26.0,14.0,44.0
Region III,2,Dry season,Reaper,"(4, 6]",84.0,124.0,23.0,35.0,24.0,71.0
Region III,2,Dry season,Reaper,"(8, 10]",161.0,161.0,43.0,43.0,87.0,87.0
Region III,2,Wet season,Combined,"(0, 2]",43.0,44.0,10.0,13.0,0.0,13.0
Region III,2,Wet season,Combined,"(2, 4]",43.0,77.0,10.0,21.0,0.0,21.0
Region III,2,Wet season,Combined,"(4, 6]",72.0,120.0,16.0,31.0,12.0,46.0
Region III,2,Wet season,Combined,"(6, 8]",98.0,110.0,24.0,26.0,24.0,26.0
Region III,2,Wet season,Combined,"(8, 10]",110.0,110.0,29.0,29.0,38.0,38.0
Region III,2,Wet season,Manual,"(0, 2]",43.0,44.0,14.0,16.0,14.0,16.0
Region III,2,Wet season,Manual,"(2, 4]",43.0,84.0,12.0,24.0,12.0,37.0
Region III,2,Wet season,Manual,"(4, 6]",77.0,116.0,22.0,32.0,23.0,64.0
Region III,2,Wet season,Manual,"(6, 8]",116.0,126.0,33.0,35.0,65.0,71.0
Region III,2,Wet season,Manual,"(8, 10]",116.0,116.0,33.0,33.0,65.0,65.0
Region III,2,Wet season,Reaper,"(0, 2]",43.0,44.0,14.0,16.0,14.0,16.0
Region III,2,Wet season,Reaper,"(2, 4]",43.0,77.0,10.0,24.0,0.0,39.0
Region III,2,Wet season,Reaper,"(4, 6]",77.0,108.0,22.0,30.0,23.0,58.0
Region III,2,Wet season,Reaper,"(6, 8]",106.0,110.0,27.0,32.0,49.0,64.0
Region III,3,Dry season,Combined,"(0, 2]",57.0,82.0,10.0,16.0,0.0,16.0
Region III,3,Dry season,Combined,"(2, 4]",57.0,95.0,10.0,23.0,0.0,23.0
Region III,3,Dry season,Combined,"(4, 6]",74.0,137.0,10.0,33.0,0.0,33.0
Region III,3,Dry season,Combined,"(6, 8]",82.0,175.0,16.0,43.0,16.0,45.0
Region III,3,Dry season,Combined,"(8, 10]",126.0,178.0,26.0,46.0,26.0,56.0
Region III,3,Dry season,Combined,"(10, 13]",126.0,176.0,30.0,46.0,30.0,56.0
Region III,3,Dry season,Manual,"(0, 2]",57.0,82.0,15.0,20.0,15.0,20.0
Region III,3,Dry season,Manual,"(2, 4]",57.0,98.0,13.0,27.0,13.0,27.0
Region III,3,Dry season,Manual,"(4, 6]",80.0,133.0,17.0,38.0,17.0,61.0
Region III,3,Dry season,Manual,"(6, 8]",126.0,175.0,33.0,46.0,33.0,79.0
Region III,3,Dry season,Manual,"(8, 10]",159.0,178.0,42.0,48.0,64.0,86.0
Region III,3,Dry season,Reaper,"(0, 2]",57.0,82.0,11.0,20.0,0.0,20.0
Region III,3,Dry season,Reaper,"(2, 4]",57.0,98.0,11.0,27.0,0.0,27.0
Region III,3,Dry season,Reaper,"(4, 6]",72.0,131.0,11.0,36.0,0.0,51.0
Region III,3,Dry season,Reaper,"(6, 8]",126.0,165.0,33.0,43.0,33.0,68.0
Region III,3,Dry season,Reaper,"(8, 10]",141.0,175.0,38.0,48.0,43.0,81.0
Region III,3,Wet season,Combined,"(0, 2]",57.0,82.0,10.0,16.0,0.0,16.0
Region III,3,Wet season,Combined,"(2, 4]",57.0,82.0,10.0,18.0,0.0,18.0
Region III,3,Wet season,Combined,"(4, 6]",68.0,120.0,10.0,31.0,0.0,31.0
Region III,3,Wet season,Combined,"(6, 8]",84.0,128.0,14.0,33.0,0.0,33.0
Region III,3,Wet season,Combined,"(8, 10]",90.0,128.0,18.0,31.0,17.0,31.0
Region III,3,Wet season,Manual,"(0, 2]",57.0,82.0,11.0,20.0,0.0,24.0
Region III,3,Wet season,Manual,"(2, 4]",57.0,82.0,10.0,20.0,0.0,24.0
Region III,3,Wet season,Manual,"(4, 6]",74.0,118.0,15.0,33.0,15.0,50.0
Region III,3,Wet season,Manual,"(6, 8]",95.0,116.0,27.0,32.0,27.0,45.0
Region III,3,Wet season,Manual,"(8, 10]",100.0,126.0,25.0,34.0,25.0,54.0
Region III,3,Wet season,Reaper,"(0, 2]",57.0,82.0,12.0,20.0,12.0,24.0
Region III,3,Wet season,Reaper,"(2, 4]",46.0,82.0,10.0,21.0,0.0,32.0
Region III,3,Wet season,Reaper,"(4, 6]",77.0,120.0,16.0,33.0,17.0,53.0
Region III,3,Wet season,Reaper,"(6, 8]",95.0,133.0,27.0,37.0,27.0,70.0
Region III,3,Wet season,Reaper,"(8, 10]",100.0,128.0,28.0,35.0,28.0,58.0
Region III,5,Dry season,Combined,"(0, 2]",37.0,49.0,10.0,16.0,10.0,16.0
Region III,5,Dry season,Combined,"(2, 4]",10.0,90.0,10.0,22.0,0.0,39.0
Region III,5,Dry season,Combined,"(4, 6]",37.0,110.0,10.0,26.0,0.0,45.0
Region III,5,Dry season,Combined,"(6, 8]",37.0,119.0,10.0,22.0,0.0,22.0
Region III,5,Dry season,Combined,"(8, 10]",37.0,154.0,10.0,31.0,10.0,72.0
Region III,5,Dry season,Combined,"(10, 13]",107.0,121.0,14.0,18.0,14.0,18.0
Region III,5,Dry season,Manual,"(0, 2]",10.0,49.0,10.0,18.0,10.0,27.0
Region III,5,Dry season,Manual,"(2, 4]",10.0,90.0,10.0,26.0,10.0,42.0
Region III,5,Dry season,Manual,"(4, 6]",37.0,110.0,10.0,30.0,10.0,49.0
Region III,5,Dry season,Manual,"(6, 8]",80.0,127.0,13.0,29.0,13.0,41.0
Region III,5,Dry season,Manual,"(8, 10]",80.0,129.0,14.0,26.0,22.0,57.0
Region III,5,Dry season,Reaper,"(0, 2]",37.0,37.0,10.0,10.0,10.0,20.0
Region III,5,Dry season,Reaper,"(2, 4]",11.0,80.0,10.0,24.0,10.0,39.0
Region III,5,Dry season,Reaper,"(4, 6]",37.0,116.0,10.0,31.0,10.0,52.0
Region III,5,Dry season,Reaper,"(6, 8]",73.0,115.0,13.0,22.0,13.0,33.0
Region III,5,Dry season,Reaper,"(8, 10]",78.0,121.0,11.0,30.0,21.0,39.0
Region III,5,Wet season,Combined,"(0, 2]",30.0,82.0,10.0,24.0,0.0,52.0
Region III,5,Wet season,Combined,"(2, 4]",43.0,82.0,10.0,25.0,0.0,54.0
Region III,5,Wet season,Combined,"(4, 6]",65.0,120.0,10.0,29.0,0.0,65.0
Region III,5,Wet season,Combined,"(6, 8]",79.0,126.0,10.0,34.0,0.0,73.0
Region III,5,Wet season,Combined,"(8, 10]",102.0,110.0,15.0,19.0,17.0,19.0
Region III,5,Wet season,Manual,"(0, 2]",34.0,82.0,11.0,23.0,11.0,50.0
Region III,5,Wet season,Manual,"(2, 4]",42.0,82.0,10.0,25.0,0.0,58.0
Region III,5,Wet season,Manual,"(4, 6]",65.0,124.0,11.0,32.0,0.0,52.0
Region III,5,Wet season,Manual,"(6, 8]",92.0,126.0,22.0,32.0,22.0,68.0
Region III,5,Wet season,Manual,"(8, 10]",106.0,113.0,25.0,28.0,25.0,28.0
Region III,5,Wet season,Reaper,"(0, 2]",43.0,82.0,16.0,23.0,16.0,48.0
Region III,5,Wet season,Reaper,"(2, 4]",33.0,82.0,10.0,23.0,0.0,41.0
Region III,5,Wet season,Reaper,"(4, 6]",77.0,110.0,20.0,29.0,20.0,43.0
Region III,5,Wet season,Reaper,"(6, 8]",102.0,113.0,25.0,30.0,25.0,42.0
Region III,5,Wet season,Reaper,"(8, 10]",102.0,110.0,22.0,27.0,22.0,27.0
Region III,6,Dry season,Combined,"(0, 2]",43.0,64.0,10.0,16.0,0.0,16.0
Region III,6,Dry season,Combined,"(2, 4]",43.0,95.0,10.0,27.0,0.0,45.0
Region III,6,Dry season,Combined,"(4, 6]",44.0,133.0,10.0,35.0,0.0,70.0
Region III,6,Dry season,Combined,"(6, 8]",126.0,173.0,31.0,44.0,31.0,84.0
Region III,6,Dry season,Combined,"(8, 10]",165.0,178.0,38.0,48.0,57.0,97.0
Region III,6,Dry season,Manual,"(0, 2]",43.0,52.0,12.0,18.0,12.0,18.0
Region III,6,Dry season,Manual,"(2, 4]",43.0,95.0,15.0,28.0,15.0,56.0
Region III,6,Dry season,Manual,"(4, 6]",44.0,131.0,14.0,37.0,14.0,76.0
Region III,6,Dry season,Manual,"(6, 8]",131.0,141.0,36.0,39.0,68.0,82.0
Region III,6,Dry season,Manual,"(8, 10]",137.0,170.0,38.0,48.0,77.0,103.0
Region III,6,Dry season,Reaper,"(0, 2]",43.0,44.0,14.0,16.0,14.0,16.0
Region III,6,Dry season,Reaper,"(2, 4]",43.0,92.0,11.0,27.0,0.0,53.0
Region III,6,Dry season,Reaper,"(4, 6]",74.0,131.0,23.0,38.0,37.0,82.0
Region III,6,Dry season,Reaper,"(6, 8]",161.0,161.0,44.0,44.0,95.0,95.0
Region III,6,Dry season,Reaper,"(8, 10]",165.0,165.0,45.0,45.0,97.0,97.0
Region III,6,Wet season,Combined,"(0, 2]",43.0,44.0,10.0,13.0,0.0,13.0
Region III,6,Wet season,Combined,"(2, 4]",43.0,80.0,10.0,22.0,0.0,22.0
Region III,6,Wet season,Combined,"(4, 6]",68.0,120.0,13.0,31.0,0.0,46.0
Region III,6,Wet season,Combined,"(6, 8]",90.0,133.0,23.0,34.0,17.0,55.0
Region III,6,Wet season,Combined,"(8, 10]",92.0,108.0,23.0,27.0,21.0,27.0
Region III,6,Wet season,Manual,"(0, 2]",43.0,44.0,11.0,16.0,11.0,16.0
Region III,6,Wet season,Manual,"(2, 4]",43.0,82.0,10.0,24.0,0.0,41.0
Region III,6,Wet season,Manual,"(4, 6]",69.0,118.0,16.0,33.0,16.0,67.0
Region III,6,Wet season,Manual,"(6, 8]",92.0,126.0,26.0,35.0,42.0,72.0
Region III,6,Wet season,Manual,"(8, 10]",113.0,126.0,31.0,34.0,55.0,65.0
Region III,6,Wet season,Reaper,"(0, 2]",43.0,44.0,15.0,16.0,15.0,16.0
Region III,6,Wet season,Reaper,"(2, 4]",43.0,77.0,14.0,24.0,14.0,39.0
Region III,6,Wet season,Reaper,"(4, 6]",77.0,118.0,22.0,33.0,22.0,67.0
Region III,6,Wet season,Reaper,"(6, 8]",108.0,110.0,30.0,31.0,50.0,57.0
Region III,6,Wet season,Reaper,"(8, 10]",102.0,106.0,29.0,31.0,47.0,60.0
Region IX,1,Dry season,Combined,"(2, 4]",74.0,74.0,12.0,12.0,12.0,12.0
Region IX,1,Dry season,Combined,"(8, 10]",133.0,133.0,33.0,33.0,23.0,23.0
Region IX,1,Dry season,Manual,"(0, 2]",43.0,70.0,15.0,17.0,15.0,21.0
Region IX,1,Dry season,Manual,"(2, 4]",54.0,88.0,15.0,23.0,13.0,28.0
Region IX,1,Dry season,Manual,"(4, 6]",92.0,120.0,22.0,33.0,26.0,33.0
Region IX,1,Dry season,Reaper,"(4, 6]",88.0,88.0,25.0,25.0,37.0,37.0
Region IX,1,Wet season,Combined,"(0, 2]",59.0,59.0,10.0,10.0,12.0,12.0
Region IX,1,Wet season,Combined,"(2, 4]",59.0,59.0,10.0,10.0,12.0,12.0
Region IX,1,Wet season,Manual,"(0, 2]",44.0,82.0,15.0,20.0,15.0,24.0
Region IX,1,Wet season,Manual,"(2, 4]",54.0,82.0,14.0,20.0,14.0,24.0
Region IX,1,Wet season,Manual,"(4, 6]",84.0,116.0,21.0,32.0,24.0,50.0
Region IX,2,Dry season,Combined,"(0, 2]",43.0,44.0,11.0,14.0,10.0,12.0
Region IX,2,Dry season,Combined,"(2, 4]",33.0,80.0,11.0,23.0,10.0,33.0
Region IX,2,Dry season,Combined,"(4, 6]",80.0,124.0,20.0,34.0,16.0,66.0
Region IX,2,Dry season,Combined,"(6, 8]",120.0,141.0,30.0,38.0,30.0,76.0
Region IX,2,Dry season,Combined,"(8, 10]",133.0,133.0,36.0,36.0,73.0,73.0
Region IX,2,Dry season,Manual,"(0, 2]",21.0,49.0,13.0,17.0,13.0,23.0
Region IX,2,Dry season,Manual,"(2, 4]",30.0,84.0,14.0,26.0,14.0,52.0
Region IX,2,Dry season,Manual,"(4, 6]",61.0,120.0,17.0,35.0,20.0,75.0
Region IX,2,Dry season,Manual,"(6, 8]",110.0,154.0,35.0,42.0,70.0,92.0
Region IX,2,Dry season,Manual,"(8, 10]",133.0,133.0,38.0,38.0,83.0,83.0
Region IX,2,Dry season,Reaper,"(0, 2]",43.0,43.0,16.0,16.0,21.0,21.0
Region IX,2,Dry season,Reaper,"(2, 4]",46.0,46.0,16.0,16.0,16.0,16.0
Region IX,2,Wet season,Combined,"(0, 2]",43.0,44.0,11.0,14.0,10.0,14.0
Region IX,2,Wet season,Combined,"(2, 4]",21.0,80.0,11.0,22.0,0.0,22.0
Region IX,2,Wet season,Combined,"(4, 6]",64.0,120.0,19.0,32.0,12.0,58.0
Region IX,2,Wet season,Combined,"(6, 8]",124.0,139.0,33.0,34.0,42.0,62.0
Region IX,2,Wet season,Combined,"(8, 10]",120.0,120.0,30.0,30.0,30.0,30.0
Region IX,2,Wet season,Manual,"(0, 2]",30.0,46.0,10.0,17.0,0.0,21.0
Region IX,2,Wet season,Manual,"(2, 4]",21.0,82.0,10.0,25.0,10.0,48.0
Region IX,2,Wet season,Manual,"(4, 6]",59.0,124.0,21.0,35.0,21.0,78.0
Region IX,2,Wet season,Manual,"(6, 8]",120.0,141.0,33.0,40.0,66.0,92.0
Region IX,2,Wet season,Manual,"(8, 10]",126.0,137.0,36.0,38.0,77.0,82.0
Region IX,2,Wet season,Reaper,"(2, 4]",46.0,80.0,17.0,25.0,17.0,48.0
Region IX,2,Wet season,Reaper,"(4, 6]",88.0,88.0,26.0,26.0,40.0,40.0
Region IX,3,Dry season,Combined,"(0, 2]",43.0,82.0,11.0,15.0,11.0,15.0
Region IX,3,Dry season,Combined,"(2, 4]",43.0,90.0,11.0,22.0,11.0,22.0
Region IX,3,Dry season,Combined,"(4, 6]",74.0,126.0,16.0,30.0,16.0,39.0
Region IX,3,Dry season,Combined,"(6, 8]",124.0,146.0,31.0,34.0,31.0,47.0
